datetime,open,high,low,close,volume,adx,bop,ema,sma1,sma2,sma3,sma4,obv,kst,kst_signal,macd,macd_signal,macd_hist,mfi,percent_b,ultosc,Pct_change
2020-08-03 00:00:00,61.77,63.21,61.68,62.63,22807000,17.28415,0.56209,54.64824,60.40714,55.253,56.7008,55.7353,1681688200.0,69.33247,-17.0985,1.81212,0.75478,1.05734,61.18504,0.86462,64.13367,0.011956697366295
2020-07-27 00:00:00,60.67,62.41,59.66,61.71,30308400,17.03994,0.37818,54.56802,59.24429,54.3345,56.5472,55.65595,1658881200.0,50.60698,-36.53458,1.56561,0.49044,1.07517,60.64168,0.84808,60.51838,-0.0146894459524189
2020-07-20 00:00:00,61.87,62.59,59.6,60.36,24614300,17.02776,-0.50502,54.49625,58.45429,53.283,56.4454,55.5846,1628572800.0,24.39258,-55.33469,1.32188,0.22165,1.10023,59.92944,0.80542,58.85642,-0.0218765192027224
2020-07-13 00:00:00,61.13,62.29,60.53,61.47,20597500,17.01465,0.19318,54.43731,57.69429,52.9415,56.3928,55.52905,1653187100.0,5.7066,-73.24121,1.12902,-0.05341,1.18243,60.60834,0.88332,56.29124,0.0183896620278329
2020-07-06 00:00:00,58.59,61.32,57.8,61.16,36339500,16.61422,0.73011,54.36663,57.46,52.504,56.31,55.46535,1632589600.0,-16.48819,-90.91142,0.75343,-0.34902,1.10244,61.88804,0.91559,59.93184,-0.0050431104603871
2020-06-29 00:00:00,58.62,58.78,56.36,57.99,44866200,16.44204,-0.26033,54.29836,56.64429,52.463,56.268,55.4045,1596250100.0,-42.28403,-105.88876,0.29463,-0.62463,0.91926,63.74254,0.76874,59.66686,-0.0518312622629169
2020-06-22 00:00:00,54.95,58.0,54.82,57.53,25057000,16.99112,0.81132,54.26126,55.92143,52.589,56.2764,55.35665,1551383900.0,-62.11229,-117.3846,0.02752,-0.85444,0.88196,63.11342,0.7329,58.42314,-0.0079324021382997
2020-06-15 00:00:00,55.86,56.97,53.93,54.49,25566000,17.82464,-0.45066,54.2284,54.97,52.717,56.2932,55.31285,1526326900.0,-87.14036,-125.15598,-0.26698,-1.07493,0.80795,65.45008,0.58132,56.68414,-0.0528419954806187
2020-06-08 00:00:00,53.59,57.79,53.29,56.18,31399600,19.04326,0.57556,54.22578,54.68286,52.874,56.3818,55.28385,1551892900.0,-95.90025,-128.45514,-0.32945,-1.27692,0.94746,62.9559,0.64909,59.21436,0.0310148651128647
2020-06-01 00:00:00,60.06,60.25,53.76,55.04,59488100,20.35561,-0.7735,54.20614,53.91286,53.052,56.4282,55.24625,1520493300.0,-105.59221,-128.94556,-0.57647,-1.51378,0.93731,56.16553,0.58717,55.33613,-0.0202919188323247
2020-05-25 00:00:00,55.47,60.29,55.39,59.83,22418900,21.62924,0.8898,54.19775,53.17286,53.357,56.4808,55.21495,1579981400.0,-118.59404,-126.50639,-0.7673,-1.74811,0.98081,52.99048,0.77164,62.6111,0.0870276162790697
